# Successful Slingshot Parameters (CUDA GPU Version)
# Format: Vx(m/s), Vy(m/s), Speed(m/s), HitTime(steps)
# Target: [4e7, 3e7] km, Radius: 100,000 km
# Spacecraft initial position: [3e7, -2e7] km
# Grid resolution: 1 m/s step size
# GPU: NVIDIA GeForce RTX 3060 Ti
# Execution time: 1.011 seconds

 -4000,   2828,    4899,  62
 -3988,   2833,    4892,  63
 -3990,   3199,    5114,  98
 -3980,   3844,    5533,  55
 -3981,   2914,    4934,  85
 -3974,   2839,    4884,  64
 -3971,   2840,    4882,  64
 -3957,   2846,    4874,  65
 -3951,   2932,    4920,  91
 -3948,   3362,    5186,  86
 -3934,   3943,    5570,  58
 -3932,   2857,    4860,  67
 -3923,   2581,    4696,  56
 -3923,   2591,    4701,  57
 -3922,   2580,    4695,  56
 -3922,   2581,    4695,  56
 -3922,   2591,    4701,  57
 -3922,   2592,    4701,  57
 -3921,   2580,    4694,  56
 -3921,   2581,    4694,  56
 -3919,   2863,    4853,  68
 -3915,   2602,    4701,  58
 -3915,   2603,    4701,  58
 -3916,   2602,    4702,  58
 -3912,   2573,    4682,  55
 -3911,   2573,    4681,  55
 -3910,   2573,    4681,  55
 -3908,   2573,    4679,  55
 -3909,   2573,    4680,  55
 -3905,   2612,    4698,  59
 -3898,   2873,    4842,  70
 -3890,   2570,    4662,  54
 -3888,   2571,    4661,  54
 -3887,   2571,    4660,  54
 -3886,   2571,    4660,  54
 -3880,   2629,    4687,  61
 -3856,   2643,    4675,  63
 -3851,   2581,    4636,  54
 -3849,   2582,    4635,  54
 -3847,   2648,    4670,  64
 -3845,   2649,    4669,  64
 -3848,   2582,    4634,  54
 -3830,   2591,    4624,  55
 -3827,   2592,    4622,  55
 -3809,   2668,    4650,  68
 -3808,   2601,    4612,  56
 -3806,   2922,    4798,  80
 -3790,   2609,    4601,  57
 -3772,   2617,    4591,  58
 -3769,   2689,    4630,  73
 -3754,   2625,    4581,  59
 -3753,   2955,    4777,  87
 -3741,   2704,    4616,  77
